ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSQVector<RSSupportPlain>",4,16384,1.176,1,21.48,21.21,21.54,3.58,3.55,4.03,3.46,3.43,3.56
"RSQVector<RSSupportPlain>",4,16384,1.176,0,12.74,9.15,9.96,2.13,1.63,1.77,1.81,1.53,1.67
"RSQVector<RSSupportPlain<512>>",4,16384,1.113,1,44.66,44.91,45.41,7.45,7.46,7.54,8.46,8.50,8.75
"RSQVector<RSSupportPlain<512>>",4,16384,1.113,0,20.57,18.81,19.69,3.32,3.11,3.25,2.94,2.93,3.12
"FlatTextWithRankSupport<i64>",4,16384,2.697,1,17.90,5.70,10.72,2.99,0.99,2.11,1.60,0.95,1.71
"FlatTextWithRankSupport<i64>",4,16384,2.697,0,17.06,4.85,10.05,2.85,0.83,1.69,1.52,0.75,1.50
"FlatTextWithRankSupport<i64, Block512>",4,16384,2.150,1,26.94,19.05,23.80,4.52,3.61,4.21,3.29,3.10,3.99
"FlatTextWithRankSupport<i64, Block512>",4,16384,2.150,0,20.01,9.57,12.36,3.34,1.85,2.11,2.06,1.40,1.99
"CondensedTextWithRankSupport<i64>",4,16384,1.535,1,13.52,13.26,16.81,2.27,2.58,2.79,2.24,2.20,2.89
"CondensedTextWithRankSupport<i64>",4,16384,1.535,0,8.14,5.08,9.14,1.36,0.86,1.52,0.93,0.84,1.51
"CondensedTextWithRankSupport<i64, Block512>",4,16384,1.125,1,24.07,23.69,28.04,4.04,3.98,5.17,4.12,4.05,5.02
"CondensedTextWithRankSupport<i64, Block512>",4,16384,1.125,0,23.12,14.79,21.20,3.90,2.52,3.56,2.47,2.24,3.13
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,16384,2.020,1,13.01,4.50,4.97,2.18,0.76,1.21,1.17,0.69,0.80
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,16384,2.020,0,9.08,3.98,4.15,1.67,0.66,1.03,0.94,0.65,0.78
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,16384,1.348,1,15.15,6.55,6.92,2.54,1.10,1.16,1.43,0.91,1.13
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,16384,1.348,0,10.71,5.02,6.08,1.81,1.23,1.03,1.12,0.82,1.05
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,16384,1.160,1,16.73,7.66,8.00,2.82,1.29,1.35,1.65,1.12,1.31
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,16384,1.160,0,12.22,6.23,7.46,2.07,1.05,1.20,1.28,0.95,1.22
"RSNarrow",2,65536,1.262,0,7.45,3.27,4.12,1.25,0.55,0.71,0.74,0.54,0.70
"RSWide",2,65536,1.044,0,20.19,13.51,14.20,3.32,2.29,2.35,2.10,1.85,2.01
"CondensedTextWithRankSupport<i64>",2,65536,1.516,0,6.82,3.02,7.14,1.14,0.51,1.52,0.68,0.49,1.16
"CondensedTextWithRankSupport<i64, Block512>",2,65536,1.085,0,15.58,6.71,10.45,2.68,1.67,2.04,1.54,1.27,1.99
"RankSelect101111",2,65536,1.038,0,14.93,11.60,12.92,2.50,1.95,2.37,1.64,1.48,1.76
"Rank9",2,65536,1.258,0,6.07,2.34,3.04,1.01,0.40,0.52,0.57,0.39,0.51
"RankSmall<1, 9>",2,65536,1.135,0,10.87,7.25,7.82,1.82,1.68,1.32,1.12,0.99,1.13
"RankSmall<2, 9>",2,65536,1.197,0,6.75,2.83,3.54,1.12,0.46,0.59,0.62,0.44,0.58
"RankSmall<1, 10>",2,65536,1.072,0,14.49,10.56,11.22,2.38,1.82,1.92,1.57,1.46,1.63
"RankSmall<1, 11>",2,65536,1.041,0,15.92,12.88,13.45,2.68,2.17,2.33,1.88,1.80,1.98
"RankSmall<3, 13>",2,65536,1.025,0,20.53,16.32,17.52,3.39,3.19,3.40,2.52,2.45,2.58
"Ranker<BinaryBlock64x2>",2,65536,1.336,0,10.74,3.54,4.06,1.80,0.60,0.69,0.96,0.54,0.68
"Ranker<BinaryBlock32x2>",2,65536,1.149,0,11.09,4.08,4.80,1.82,0.70,0.80,1.08,0.67,0.77
"Ranker<BinaryBlock16x2>",2,65536,1.071,0,11.05,3.85,5.04,1.81,0.65,0.80,0.97,0.59,0.79
"Ranker<BinaryBlock16>",2,65536,1.040,0,16.12,5.73,6.37,2.69,0.96,1.07,1.46,0.83,1.03
"Ranker<BinaryBlock16Spider>",2,65536,1.040,0,21.35,16.88,17.03,3.52,2.65,2.83,2.15,1.86,2.09
"RSQVector<RSSupportPlain>",4,32768,1.150,1,21.48,21.22,21.51,3.58,3.56,3.61,3.48,3.43,3.53
"RSQVector<RSSupportPlain>",4,32768,1.150,0,12.74,9.15,10.00,2.14,1.59,2.12,1.67,1.51,1.67
"RSQVector<RSSupportPlain<512>>",4,32768,1.088,1,44.68,44.88,45.37,7.46,7.42,7.55,8.49,8.48,8.78
"RSQVector<RSSupportPlain<512>>",4,32768,1.088,0,20.64,18.85,19.68,3.33,3.11,3.30,2.96,2.90,3.12
"FlatTextWithRankSupport<i64>",4,32768,2.681,1,17.91,5.58,10.72,2.99,1.37,1.75,1.60,0.95,1.71
"FlatTextWithRankSupport<i64>",4,32768,2.681,0,17.08,4.96,10.05,2.86,0.83,1.69,1.57,0.75,1.53
"FlatTextWithRankSupport<i64, Block512>",4,32768,2.106,1,27.54,19.46,24.07,4.60,3.32,4.24,3.31,3.13,4.01
"FlatTextWithRankSupport<i64, Block512>",4,32768,2.106,0,20.49,9.78,12.45,3.49,1.64,2.40,2.11,1.46,2.00
"CondensedTextWithRankSupport<i64>",4,32768,1.518,1,13.51,13.26,16.82,2.26,2.62,3.49,2.24,2.23,2.79
"CondensedTextWithRankSupport<i64>",4,32768,1.518,0,8.14,5.08,9.14,1.46,0.86,1.52,0.90,0.87,1.52
"CondensedTextWithRankSupport<i64, Block512>",4,32768,1.094,1,24.34,24.09,28.30,4.09,4.40,4.75,4.11,4.05,5.04
"CondensedTextWithRankSupport<i64, Block512>",4,32768,1.094,0,23.56,14.83,21.24,3.97,2.52,3.55,2.56,2.26,3.16
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,32768,2.010,1,13.05,4.51,4.84,2.18,1.00,0.84,1.17,0.70,0.81
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,32768,2.010,0,9.12,3.99,4.15,1.84,0.66,0.75,0.95,0.65,0.76
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,32768,1.338,1,15.17,6.54,6.92,2.54,1.10,1.18,1.43,0.92,1.16
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,32768,1.338,0,10.73,5.01,6.08,1.82,1.24,1.03,1.12,0.83,1.05
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,32768,1.150,1,16.76,7.67,8.01,2.86,1.29,1.80,1.61,1.17,1.31
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,32768,1.150,0,12.23,6.24,7.46,2.07,1.05,1.20,1.28,0.99,1.20
"RSNarrow",2,131072,1.256,0,7.53,3.28,4.12,1.26,0.99,0.71,0.72,0.54,0.70
"RSWide",2,131072,1.038,0,20.24,13.54,14.22,3.33,2.49,2.35,2.10,1.86,2.01
"CondensedTextWithRankSupport<i64>",2,131072,1.509,0,7.03,3.07,7.14,1.17,0.98,1.21,0.64,0.49,1.16
"CondensedTextWithRankSupport<i64, Block512>",2,131072,1.075,0,16.28,6.95,10.47,2.81,1.40,2.69,1.62,1.30,2.02
"RankSelect101111",2,131072,1.035,0,14.93,11.64,12.92,2.52,2.19,2.38,1.67,1.47,1.76
"Rank9",2,131072,1.254,0,6.14,2.36,3.04,1.02,0.76,0.51,0.58,0.38,0.51
"RankSmall<1, 9>",2,131072,1.130,0,10.90,7.25,7.81,1.82,1.22,1.31,1.12,0.98,1.13
"RankSmall<2, 9>",2,131072,1.192,0,6.82,2.85,3.54,1.12,0.47,0.59,0.65,0.44,0.58
"RankSmall<1, 10>",2,131072,1.067,0,14.53,10.56,11.20,2.38,1.82,1.93,1.57,1.47,1.80
"RankSmall<1, 11>",2,131072,1.036,0,15.95,12.89,13.47,2.96,2.43,2.57,1.87,1.80,1.95
"RankSmall<3, 13>",2,131072,1.021,0,20.56,16.34,17.59,3.39,2.89,2.98,2.52,2.42,2.58
"Ranker<BinaryBlock64x2>",2,131072,1.336,0,11.09,3.63,4.08,1.86,0.89,0.69,1.00,0.55,0.67
"Ranker<BinaryBlock32x2>",2,131072,1.145,0,11.31,4.12,4.81,1.87,0.72,0.79,1.07,0.67,0.77
"Ranker<BinaryBlock16x2>",2,131072,1.071,0,11.22,3.91,5.04,1.84,0.68,0.79,1.03,0.62,0.81
"Ranker<BinaryBlock16>",2,131072,1.036,0,16.65,5.83,6.45,2.78,1.01,1.09,1.52,0.89,1.05
"Ranker<BinaryBlock16Spider>",2,131072,1.036,0,21.32,16.77,17.02,3.52,2.67,2.81,2.16,1.86,2.14
"RSQVector<RSSupportPlain>",4,65536,1.138,1,21.53,21.28,21.54,3.59,3.56,3.60,3.45,3.42,3.56
"RSQVector<RSSupportPlain>",4,65536,1.138,0,12.83,9.19,9.97,2.18,1.97,1.99,1.67,1.50,1.67
"RSQVector<RSSupportPlain<512>>",4,65536,1.075,1,44.65,44.88,45.37,7.49,7.42,7.54,8.47,8.49,8.75
"RSQVector<RSSupportPlain<512>>",4,65536,1.075,0,20.66,18.76,19.68,3.31,3.10,3.35,3.84,2.93,3.13
"FlatTextWithRankSupport<i64>",4,65536,2.676,1,17.93,5.98,10.72,3.00,1.02,2.03,1.62,0.96,1.75
"FlatTextWithRankSupport<i64>",4,65536,2.676,0,17.13,4.96,10.05,2.86,0.85,1.68,1.52,0.75,1.49
"FlatTextWithRankSupport<i64, Block512>",4,65536,2.086,1,28.44,20.16,24.44,4.75,3.40,4.37,3.39,3.20,4.07
"FlatTextWithRankSupport<i64, Block512>",4,65536,2.086,0,20.81,9.96,12.50,3.47,1.67,2.15,2.16,1.49,2.01
"CondensedTextWithRankSupport<i64>",4,65536,1.511,1,13.49,13.24,16.81,2.27,2.21,3.22,2.25,2.20,2.82
"CondensedTextWithRankSupport<i64>",4,65536,1.511,0,8.30,5.10,9.14,1.40,1.16,1.52,0.92,0.84,1.51
"CondensedTextWithRankSupport<i64, Block512>",4,65536,1.080,1,24.81,24.47,28.31,4.16,4.14,4.75,4.14,4.08,5.03
"CondensedTextWithRankSupport<i64, Block512>",4,65536,1.080,0,23.88,14.85,21.30,4.03,2.80,3.82,2.58,2.28,3.19
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,65536,2.005,1,13.57,4.58,4.98,2.28,0.82,1.14,1.24,0.72,0.80
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,65536,2.005,0,9.60,4.08,4.16,1.76,0.68,0.74,0.98,0.65,0.76
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,65536,1.337,1,15.28,6.57,6.87,2.56,1.39,1.16,1.44,0.93,1.13
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,65536,1.337,0,10.88,5.03,6.08,1.84,0.89,1.03,1.13,0.83,1.04
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,65536,1.146,1,16.91,7.59,7.94,2.84,1.29,1.35,1.65,1.16,1.34
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,65536,1.146,0,12.37,6.28,7.46,2.10,1.05,1.20,1.33,0.97,1.23
"RSNarrow",2,262144,1.253,0,8.44,3.30,4.12,1.41,0.58,0.70,0.84,0.54,0.70
"RSWide",2,262144,1.034,0,20.21,13.50,14.21,3.33,2.26,2.35,2.11,1.97,2.01
"CondensedTextWithRankSupport<i64>",2,262144,1.505,0,8.11,3.21,7.18,1.35,0.54,1.21,0.79,0.52,1.19
"CondensedTextWithRankSupport<i64, Block512>",2,262144,1.070,0,16.78,7.14,10.53,2.92,1.70,2.06,1.64,1.32,2.03
"RankSelect101111",2,262144,1.033,0,15.03,11.61,12.93,2.53,2.00,2.15,1.66,1.48,1.77
"Rank9",2,262144,1.252,0,7.03,2.36,3.04,1.18,0.42,0.51,0.66,0.39,0.51
"RankSmall<1, 9>",2,262144,1.127,0,11.28,7.28,7.82,1.88,1.23,1.31,1.15,0.98,1.13
"RankSmall<2, 9>",2,262144,1.190,0,7.55,2.85,3.54,1.24,0.87,0.83,0.71,0.44,0.58
"RankSmall<1, 10>",2,262144,1.065,0,14.65,10.57,11.23,2.41,1.84,1.93,1.58,1.50,1.63
"RankSmall<1, 11>",2,262144,1.034,0,15.94,12.91,13.46,2.68,2.19,2.33,1.87,1.80,1.95
"RankSmall<3, 13>",2,262144,1.018,0,20.53,16.31,17.52,3.39,3.12,2.97,2.53,2.42,2.58
"Ranker<BinaryBlock64x2>",2,262144,1.334,0,12.43,3.90,4.08,2.08,0.65,0.69,1.21,0.61,0.68
"Ranker<BinaryBlock32x2>",2,262144,1.145,0,12.39,4.33,4.81,2.08,1.04,0.80,1.21,0.71,0.79
"Ranker<BinaryBlock16x2>",2,262144,1.069,0,12.29,4.17,5.05,2.06,0.73,0.80,1.18,0.67,0.80
"Ranker<BinaryBlock16>",2,262144,1.034,0,17.46,6.03,6.53,2.91,1.01,1.10,1.59,0.90,1.07
"Ranker<BinaryBlock16Spider>",2,262144,1.034,0,21.40,16.73,17.03,3.71,2.68,2.83,2.15,1.87,2.09
