ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12,latency_24,loop_24,stream_24,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96,latency_192,loop_192,stream_192
"RankSmall<1, 11>",2,8589934592,1.031,0,139.45245,43.81338,28.79560,46.86566,14.67420,9.65642,23.55268,7.40709,4.86368,11.90531,3.65398,2.44063,5.86535,1.85712,1.24748,2.96619,0.98458,0.66194,1.54865,0.56237,0.38815,0.84444,0.48528,0.35018
"RankSmall<3, 13>",2,8589934592,1.016,0,144.77047,61.74768,53.88787,48.89500,20.61109,18.06691,24.65552,10.43682,9.09463,12.46178,5.25256,4.60640,6.22747,2.68534,2.35631,3.21080,1.42766,1.24314,1.69999,0.81197,0.68826,0.93776,0.69000,0.54982
"Ranker<BinaryBlock64x2>",2,8589934592,1.333,0,135.12101,19.28636,11.40691,45.21752,6.44448,3.82923,22.66683,3.25466,1.94283,11.48054,1.66287,1.00468,5.65911,0.86649,0.53660,2.84460,0.48831,0.31410,1.50855,0.29768,0.24363,0.81600,0.27420,0.24225
"Ranker<BinaryBlock32x2>",2,8589934592,1.143,0,135.70391,24.23652,11.88477,45.44825,7.98032,3.98790,22.75022,4.07381,2.02541,11.39615,2.07786,1.03595,5.64477,1.07092,0.55016,2.82893,0.58518,0.31737,1.49306,0.33522,0.24175,0.80798,0.29863,0.23939
"Ranker<BinaryBlock16x2>",2,8589934592,1.067,0,134.10281,21.92491,12.58307,45.77694,7.37826,4.23987,22.74641,3.71147,2.15077,11.44570,1.88682,1.09677,5.66487,0.97259,0.57809,2.84334,0.53234,0.32867,1.49150,0.31575,0.24317,0.80476,0.29136,0.23949
"Ranker<BinaryBlock16>",2,8589934592,1.033,0,135.27111,24.10370,13.50337,45.29448,8.13474,4.53261,22.91397,4.09420,2.29062,11.50749,2.06639,1.12372,5.67779,1.06892,0.61357,2.84252,0.57637,0.34373,1.49401,0.33319,0.24364,0.80566,0.29947,0.23931
"Ranker<BinaryBlock16Spider>",2,8589934592,1.033,0,132.12486,34.58644,11.68948,44.24651,11.58080,3.91019,22.23215,5.81677,1.96430,11.18893,2.92638,0.99431,5.53255,1.49939,0.50800,2.77986,0.78349,0.28775,1.46324,0.44395,0.24306,0.79421,0.40823,0.24034
"RSQVector<RSSupportPlain>",4,4294967296,1.125,1,148.07357,139.99507,19.37760,49.68392,46.68298,6.45779,24.95963,23.51740,3.27389,12.58036,11.84445,1.62801,6.29712,5.94608,0.84265,3.26262,3.08680,0.49978,1.74014,1.63971,0.39314,1.08361,1.07248,0.37267
"RSQVector<RSSupportPlain>",4,4294967296,1.125,0,143.69312,61.16254,24.74786,48.48126,20.56793,8.28509,24.17268,10.40072,4.20379,12.22431,5.33339,2.11774,6.11485,2.72779,1.10992,3.18538,1.42811,0.62690,1.70092,0.79890,0.40913,0.99319,0.73069,0.37547
"RSQVector<RSSupportPlain<512>>",4,4294967296,1.063,1,166.41733,161.80443,31.13189,55.70608,54.15603,10.41334,27.97244,27.13908,5.21623,14.02214,13.67377,2.63120,6.93609,6.80993,1.32291,3.50121,3.43619,0.71052,1.83716,1.81470,0.59911,1.08023,1.07617,0.58928
"RSQVector<RSSupportPlain<512>>",4,4294967296,1.063,0,149.48220,82.44482,31.69247,50.18839,27.67620,10.69030,25.19127,13.78788,5.40476,12.70974,6.92578,2.71776,6.33230,3.56044,1.41826,3.21666,1.83900,0.80539,1.70233,0.97735,0.57863,0.95165,0.86998,0.56331
"FlatTextWithRankSupport<i64>",4,4294967296,2.669,1,146.63622,20.33142,28.59275,48.97672,6.84770,9.55738,24.57666,3.47029,4.82437,12.41602,1.75884,2.44624,6.27324,0.94736,1.19640,3.19681,0.56689,0.69098,1.66191,0.39856,0.43605,0.90331,0.37461,0.38456
"FlatTextWithRankSupport<i64>",4,4294967296,2.669,0,134.31801,24.84187,15.27638,45.08749,8.30687,5.12553,22.66850,4.18043,2.58778,11.40942,2.11405,1.31657,5.73402,1.08815,0.68901,2.90415,0.59211,0.38582,1.52654,0.34514,0.26330,0.83236,0.32186,0.25338
"FlatTextWithRankSupport<i64, Block512>",4,4294967296,2.066,1,165.05254,62.71561,45.86744,56.15451,21.32004,15.62528,28.35262,10.88343,7.95388,14.39742,5.62578,4.17747,7.45361,2.98083,2.17020,3.87286,1.75061,1.24111,2.05527,1.08312,1.01234,1.20569,1.04066,1.01007
"FlatTextWithRankSupport<i64, Block512>",4,4294967296,2.066,0,140.08956,25.42793,15.40654,46.57294,8.50045,5.20986,23.53645,4.27574,2.62546,11.87606,2.16574,1.33935,5.92896,1.11840,0.70011,3.00475,0.60291,0.39194,1.57748,0.35053,0.26507,0.84953,0.32471,0.25190
"CondensedTextWithRankSupport<i64>",4,4294967296,1.502,1,147.51267,60.04805,28.94641,50.16168,20.14435,9.74744,25.09564,10.14240,4.92886,12.69298,5.11916,2.52216,6.47159,2.63608,1.33046,3.33621,1.40498,0.75786,1.79610,0.80083,0.50201,0.98243,0.78879,0.46644
"CondensedTextWithRankSupport<i64>",4,4294967296,1.502,0,144.47690,37.20331,25.88582,48.67578,12.47681,8.71009,24.50777,6.29973,4.40021,12.38162,3.21212,2.26170,6.28108,1.67914,1.19642,3.30597,0.93731,0.68075,1.78677,0.57528,0.47692,0.97050,0.52206,0.45888
"CondensedTextWithRankSupport<i64, Block512>",4,4294967296,1.064,1,163.89440,81.94422,35.21951,55.07258,27.47971,11.77930,27.57708,13.80439,5.93178,14.03707,7.00513,3.04847,7.03343,3.55525,1.57426,3.60450,1.83394,0.86402,1.87077,0.99123,0.59888,1.05391,0.92638,0.57192
"CondensedTextWithRankSupport<i64, Block512>",4,4294967296,1.064,0,157.80591,37.73075,29.63373,53.74013,12.76920,10.00102,27.11278,6.49479,5.06966,13.76096,3.31806,2.58937,6.87118,1.75122,1.34854,3.51061,0.98985,0.77045,1.82284,0.65457,0.56426,0.98075,0.60332,0.55734
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,4294967296,2.000,1,140.11966,21.46048,11.11149,46.64173,7.15452,3.71879,23.34235,3.61440,1.89783,11.73314,1.84478,0.97702,5.88058,0.95479,0.53085,2.96992,0.53162,0.31413,1.57204,0.31697,0.24780,0.84805,0.31274,0.24692
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,4294967296,2.000,0,133.12071,26.60131,11.93563,44.69727,8.99608,4.01755,22.43469,4.55977,2.06851,11.27063,2.33844,1.05821,5.63249,1.21901,0.56424,2.83838,0.65869,0.32693,1.51664,0.37407,0.24982,0.82205,0.32952,0.24763
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,4294967296,1.333,1,138.90053,25.79945,12.16780,46.61560,8.57748,4.07183,23.41532,4.32424,2.07697,11.72728,2.23068,1.06373,5.84925,1.14800,0.56229,2.94203,0.61757,0.32338,1.56030,0.34997,0.24497,0.83767,0.36132,0.24299
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,4294967296,1.333,0,131.81799,30.93183,13.49422,44.65224,10.38371,4.50591,22.64221,5.29453,2.30269,11.23434,2.70555,1.16681,5.60781,1.39850,0.61371,2.81552,0.75191,0.34629,1.49564,0.41982,0.24976,0.80942,0.36495,0.24315
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,4294967296,1.144,1,138.76262,34.05966,13.66217,46.60329,11.45760,4.59956,23.80361,5.77524,2.32617,11.99808,2.91572,1.18781,5.92064,1.48318,0.62016,2.97308,0.77930,0.34763,1.55829,0.44040,0.24816,0.83434,0.43320,0.24275
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,4294967296,1.144,0,135.24755,33.65414,14.52752,44.96044,11.27144,4.86920,22.78002,5.67323,2.47611,11.43326,2.87161,1.25840,5.67393,1.46260,0.65656,2.84571,0.76854,0.36802,1.49600,0.43803,0.25236,0.81040,0.41475,0.24406
"RSNarrow",2,17179869184,1.250,0,160.06599,27.36831,19.01948,53.23653,9.23751,6.34694,26.75375,4.68046,3.22655,13.47917,2.37136,1.66770,6.79078,1.23967,0.91071,3.54452,0.73718,0.55987,1.89973,0.50488,0.45766,1.02868,0.48097,0.45891
"RSWide",2,17179869184,1.031,0,150.22176,31.04081,17.59969,50.15512,10.40021,5.87430,25.02134,5.26899,2.95046,12.66011,2.65728,1.47420,6.27871,1.35074,0.76597,3.16813,0.73865,0.41551,1.67905,0.40819,0.28916,0.92495,0.37938,0.28251
